País,Población
IndiaIndia,1417492000
ChinaChinaChina[12],1406589000
Estados UnidosEstados Unidos,341785000
IndonesiaIndonesiaIndonesia,286562000
PakistánPakistánPakistán,256204000
NigeriaNigeriaNigeria,236213000
BrasilBrasil,213421000
BangladésBangladésBangladés,177567000
RusiaRusia[13],146022000
MéxicoMéxico,131013000
JapónJapónJapón,123263000
FilipinasFilipinasFilipinas,114124000
República Democrática del CongoRepública Democrática del CongoRepública Democrática del Congo,112832000
EtiopíaEtiopíaEtiopía,111705000
EgiptoEgipto,107860000
VietnamVietnamVietnam,102301000
IránIránIrán,91695000
TurquíaTurquíaTurquía,85751000
AlemaniaAlemania,83272000
Reino UnidoReino UnidoReino Unido,69488000
TanzaniaTanzaniaTanzania,68153000
TailandiaTailandia,66935000
FranciaFrancia[14],66383000
SudáfricaSudáfrica,63103000
ItaliaItalia,58939000
KeniaKeniaKenia,53331000
ColombiaColombia,53057000
SudánSudán,51662000
BirmaniaBirmaniaBirmania,51368000
Corea del SurCorea del SurCorea del Sur,51144000
EspañaEspaña[15],49312000
ArgeliaArgeliaArgelia,47750000
UgandaUgandaUganda,47453000
IrakIrakIrak,46874000
ArgentinaArgentina[16],46387000
CanadáCanadá,41447000
AngolaAngolaAngola,38099000
UzbekistánUzbekistánUzbekistán,37856000
MarruecosMarruecosMarruecos[17],37712000
PoloniaPolonia,37386000
AfganistánAfganistánAfganistán,36931000
Arabia SauditaArabia SauditaArabia Saudita,35952000
YemenYemenYemen,34524000
PerúPerú,34350000
MozambiqueMozambiqueMozambique,34331000
MalasiaMalasiaMalasia,34088000
GhanaGhanaGhana,33512000
Costa de MarfilCosta de MarfilCosta de Marfil,32222000
MadagascarMadagascarMadagascar,32149000
NepalNepalNepal,29912000
CamerúnCamerúnCamerún,29879000
UcraniaUcrania[18],28874000
VenezuelaVenezuela,28517000
AustraliaAustralia,27702000
NígerNígerNíger,27520000
Corea del NorteCorea del NorteCorea del Norte,26075000
MaliMaliMali,24745000
Burkina FasoBurkina FasoBurkina Faso,24100000
SiriaSiriaSiria,23607000
República de ChinaRepública de China(o Taiwán)[19],23274000
Sri LankaSri LankaSri Lanka,21843000
ZambiaZambia,21688000
MalauiMalauiMalaui,20741000
KazajistánKazajistán,20369000
ChileChile,20208000
SomaliaSomalia,19655000
ChadChad,19341000
SenegalSenegalSenegal,19076000
RumaniaRumania,19033000
EcuadorEcuador,18104000
GuatemalaGuatemala,18086000
Países BajosPaíses Bajos,18049000
CamboyaCamboyaCamboya,17584000
GuineaGuineaGuinea,17521000
ZimbabueZimbabueZimbabue,15952000
Sudán del SurSudán del Sur,15787000
BenínBenínBenín,14192000
RuandaRuandaRuanda,14118000
BurundiBurundiBurundi,12623000
TúnezTúnezTúnez,12011000
HaitíHaitíHaití,12009000
BélgicaBélgica,11893000
JordaniaJordaniaJordania[20],11823000
Emiratos Árabes UnidosEAU,11541000
BoliviaBolivia,11522000
República DominicanaRepública Dominicana,11092000
República ChecaRepública Checa,10904000
PortugalPortugal,10764000
TayikistánTayikistán,10602000
SueciaSuecia,10591000
Papúa Nueva GuineaPapúa Nueva GuineaPapúa Nueva Guinea,10465000
GreciaGrecia,10355000
AzerbaiyánAzerbaiyánAzerbaiyán,10225000
IsraelIsraelIsrael,10091000
HondurasHondurasHonduras,10038000
CubaCuba,9694000
HungríaHungría,9507000
AustriaAustria,9208000
BielorrusiaBielorrusia,9082000
Sierra LeonaSierra LeonaSierra Leona,9078000
SuizaSuiza,9078000
TogoTogo,8588000
LaosLaosLaos,7770000
Hong KongHong KongHong Kong(China)[21],7506000
LibiaLibiaLibia,7459000
TurkmenistánTurkmenistán,7355000
KirguistánKirguistán,7340000
NicaraguaNicaragua,6946000
República del CongoRepública del CongoRepública del Congo,6569000
República CentroafricanaRepública CentroafricanaRepública Centroafricana,6567000
SerbiaSerbiaSerbia,6549000
BulgariaBulgariaBulgaria,6425000
ParaguayParaguay,6246000
SingapurSingapurSingapur[22],6110000
El SalvadorEl Salvador,6050000
DinamarcaDinamarcaDinamarca,6006000
LíbanoLíbanoLíbano[23],5849000
PalestinaPalestinaPalestina[24],5745000
LiberiaLiberiaLiberia,5655000
FinlandiaFinlandia,5647000
NoruegaNoruega,5609000
IrlandaIrlanda,5485000
EslovaquiaEslovaquia,5413000
Nueva ZelandaNueva ZelandaNueva Zelanda,5310000
OmánOmánOmán,5198000
Costa RicaCosta Rica,5192000
MauritaniaMauritaniaMauritania,5180000
KuwaitKuwaitKuwait,4956000
PanamáPanamá,4020000
CroaciaCroacia,3836000
GeorgiaGeorgiaGeorgia[25],3705000
EritreaEritreaEritrea,3607000
MongoliaMongolia,3582000
UruguayUruguay,3486000
NamibiaNamibiaNamibia,3185000
Puerto RicoPuerto RicoPuerto Rico(EE.UU.)[26],3184000
Bosnia y HerzegovinaBosnia y HerzegovinaBosnia y Herzegovina,3140000
CatarCatarCatar,3110000
ArmeniaArmeniaArmenia,3083000
LituaniaLituania,2908000
MoldaviaMoldaviaMoldavia[27],2849000
JamaicaJamaica,2794000
GambiaGambiaGambia,2492000
GabónGabónGabón,2469000
BotsuanaBotsuanaBotsuana,2456000
AlbaniaAlbania,2348000
EsloveniaEsloveniaEslovenia,2132000
LesotoLesotoLesoto,2130000
Guinea EcuatorialGuinea EcuatorialGuinea Ecuatorial,1938000
LetoniaLetoniaLetonia,1829000
Guinea-BisáuGuinea-BisáuGuinea-Bisáu,1821000
Macedonia del NorteMacedonia del NorteMacedonia del Norte,1818000
BaréinBaréinBaréin,1609000
KosovoKosovoKosovo[28],1587000
Timor OrientalTimor OrientalTimor Oriental,1389000
EstoniaEstoniaEstonia,1369000
Trinidad y TobagoTrinidad y TobagoTrinidad y Tobago,1368000
SuazilandiaSuazilandiaSuazilandia(o Esuatini),1250000
MauricioMauricio,1241000
YibutiYibutiYibuti,1086000
ChipreChipreChipre,988000
GuyanaGuyanaGuyana,966000
ComorasComorasComoras,920000
FiyiFiyiFiyi,901000
ReuniónReunión(Francia),887000
ButánButánBután,785000
Islas SalomónIslas Salomón,763000
MacaoMacaoMacao(China)[29],688000
República Árabe Saharaui DemocráticaRepública Árabe Saharaui DemocráticaRepública Árabe Saharaui Democrática,686000
LuxemburgoLuxemburgoLuxemburgo,685000
SurinamSurinamSurinam,640000
MontenegroMontenegro,623000
Cabo VerdeCabo VerdeCabo Verde,588000
MaltaMaltaMalta,584000
MaldivasMaldivasMaldivas,562000
BrunéiBrunéiBrunéi,459000
BeliceBeliceBelice,418000
BahamasBahamasBahamas,409000
IslandiaIslandiaIslandia,393000
GuadalupeGuadalupeGuadalupe(Francia),374000
MartinicaMartinicaMartinica(Francia),346000
MayotteMayotte(Francia),343000
VanuatuVanuatuVanuatu,335000
Guayana FrancesaGuayana FrancesaGuayana Francesa,308000
BarbadosBarbadosBarbados,283000
Polinesia FrancesaPolinesia FrancesaPolinesia Francesa,280000
Nueva CaledoniaNueva CaledoniaNueva Caledonia(Francia),264000
SamoaSamoaSamoa,213000
Santo Tomé y PríncipeSanto Tomé y Príncipe,211000
Santa LucíaSanta LucíaSanta Lucía,175000
CurazaoCurazaoCurazao(PB),162000
GuamGuamGuam(EE.UU.),151000
KiribatiKiribatiKiribati,129000
SeychellesSeychellesSeychelles,122000
San Vicente y las GranadinasSan Vicente y las GranadinasSan Vicente y las Granadinas,111000
GranadaGranadaGranada,110000
ArubaArubaAruba(PB),109000
JerseyJerseyJersey(RU),106000
TongaTonga,100000
Antigua y BarbudaAntigua y BarbudaAntigua y Barbuda,96000
Islas CaimánIslas Caimán(RU),90000
AndorraAndorra,88000
Isla de ManIsla de ManIsla de Man(RU),85000
Islas Vírgenes de los Estados UnidosIslas Vírgenes de los Estados Unidos,78000
MicronesiaMicronesiaMicronesia,72000
DominicaDominicaDominica,66000
GuernseyGuernsey(RU),65000
BermudasBermudasBermudas(RU),64000
GroenlandiaGroenlandiaGroenlandia(Dinamarca),57000
Islas FeroeIslas FeroeIslas Feroe(Dinamarca),55000
Islas Turcas y CaicosIslas Turcas y Caicos(RU),54000
Islas Marianas del NorteIslas Marianas del NorteIslas Marianas del Norte(EE.UU.),47000
Samoa AmericanaSamoa AmericanaSamoa Americana(EE.UU.),47000
San Cristóbal y NievesSan Cristóbal y NievesSan Cristóbal y Nieves,47000
LiechtensteinLiechtensteinLiechtenstein,41000
Sint MaartenSan Martín(PB),41000
GibraltarGibraltar(RU)[30],40000
Islas Vírgenes BritánicasIslas Vírgenes Británicas(RU),40000
Islas MarshallIslas MarshallIslas Marshall,39000
MónacoMónacoMónaco,39000
San MarinoSan Marino,34000
Caribe NeerlandésCaribe Neerlandés(PB),32000
ÅlandÅlandÅland(Finlandia),31000
Saint-MartinSan Martín(Francia),31000
AnguilaAnguilaAnguila(RU),15000
Islas CookIslas CookIslas Cook(NZ)[31],15000
PalaosPalaosPalaos,14000
NauruNauruNauru,12000
TuvaluTuvalu,11000
Wallis y FutunaWallis y Futuna(Francia),11000
San BartoloméSan BartoloméSan Bartolomé(Francia),10000
San Pedro y MiquelónSan Pedro y Miquelón(Francia),6000
"Santa Elena, Ascensión y Tristán de AcuñaSanta Elena, Ascensión y Tristán de AcuñaSanta Elena, Ascensión y Tristán de Acuña(RU)",5000
Islas MalvinasIslas MalvinasIslas Malvinas(RU)[32],4000
MontserratMontserratMontserrat(RU),4000
NorfolkIsla Norfolk(Australia),3000
Svalbard y Jan MayenSvalbard y Jan MayenSvalbard y Jan Mayen(Noruega),3000
TokelauTokelau(NZ),3000
Isla de NavidadIsla de NavidadIsla de Navidad(Australia),2000
NiueNiueNiue(NZ)[33],2000
VaticanoCiudad del Vaticano,1000
Islas CocosIslas CocosIslas Cocos(Australia),600
Islas Ultramarinas Menores de los Estados UnidosIslas Ultramarinas Menores de los Estados Unidos,100
Islas PitcairnIslas Pitcairn(RU),30
Mundo,8073541000
País (o territorio dependiente),Proyecciónexponencialde lapoblaciónal1/7/2025
